longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
-1.3273137503741952,1.0517172634499063,0.9821633124298519,-0.803812602122019,-0.97032521343305,-0.9733195161260458,-0.9768332722738569,2.3451629104250675,452600.0,False,False,True,False
-1.322322556990924,1.0423552622470444,-0.606210165496261,2.0421301959027685,1.3482759370790036,0.861339237553228,1.6703726236687724,2.3326316135945775,358500.0,False,False,True,False
-1.332304943757459,1.0376742616456152,1.8557687252892139,-0.5351892828680311,-0.8255609655505165,-0.8197694328455294,-0.8434266510356413,1.782939433299161,352100.0,False,False,True,False
-1.33729613714073,1.0376742616456152,1.8557687252892139,-0.6235100675631242,-0.718767667932254,-0.765056184780058,-0.7335623747218168,0.9329700016412193,341300.0,False,False,True,False
-1.33729613714073,1.0376742616456152,1.8557687252892139,-0.4619699794938607,-0.6119743703139916,-0.7588788825791177,-0.6289297306134125,-0.013142909060728857,342200.0,False,False,True,False
-1.33729613714073,1.0376742616456152,1.8557687252892139,-0.7859653969245649,-0.7709777245456267,-0.8930145875138218,-0.8015735933922796,0.08721277059856865,269700.0,False,False,True,False
-1.33729613714073,1.0329932610441857,1.8557687252892139,-0.04645043284544337,-0.11597883248695046,-0.29205133053662813,0.038103375577665036,-0.1116557509508366,299200.0,False,False,True,False
-1.33729613714073,1.0329932610441857,1.8557687252892139,0.21393571477895032,0.3539116770334043,-0.23645561072816526,0.38600691723810937,-0.39550541991372845,241400.0,False,False,True,False
-1.3422873305240008,1.0329932610441857,1.0615819863261575,-0.03729801992367206,0.30170162042003157,-0.19321449532158305,0.24998447989718378,-0.9428808898707354,226700.0,False,False,True,False
-1.33729613714073,1.0329932610441857,1.8557687252892139,0.41757690228836186,0.40137536486374314,0.11123825601047539,0.5612665961196867,-0.09475429598198337,261100.0,False,False,True,False
-1.3422873305240008,1.0376742616456152,1.8557687252892139,-0.19883810799293564,-0.24650397402038232,-0.4544261312470593,-0.25486802792586705,-0.35175118602239785,281500.0,False,False,True,False
-1.3422873305240008,1.0376742616456152,1.8557687252892139,0.3965263525682879,0.5081686624820057,0.06976208408987612,0.6135829181738888,-0.31626339583857493,241800.0,False,False,True,False
-1.3422873305240008,1.0376742616456152,1.8557687252892139,-0.06658574127334024,-0.1515765983597046,-0.2885214435646622,-0.08222416514699993,-0.4191990483747377,213500.0,False,False,True,False
-1.3422873305240008,1.0329932610441857,1.8557687252892139,-0.888014801002315,-0.8231877811589995,-0.953022666037242,-0.8512740993437716,-0.6305462142469411,191300.0,False,False,True,False
-1.3422873305240008,1.0376742616456152,1.8557687252892139,0.002972596932121689,0.20914742915087076,-0.1879196648636342,0.3153798824649365,-1.029073044961118,159200.0,False,False,True,False
-1.3422873305240008,1.0376742616456152,1.6969313774966026,-0.6939836470607633,-0.6048548171394408,-0.6423926125042432,-0.615850650099862,-0.9193978714404906,140000.0,False,False,True,False
-1.3472785239072649,1.0376742616456152,1.8557687252892139,-0.30683658046983703,-0.4529710160823564,-0.5576753251770618,-0.4405909712182847,-0.5771565714481335,152500.0,False,False,True,False
-1.3472785239072649,1.0376742616456152,1.8557687252892139,-0.6445606172831982,-0.5811229732242713,-0.6856337279108254,-0.5138338220941677,-0.9219251918096648,155500.0,False,False,True,False
-1.3422873305240008,1.0329932610441857,1.6969313774966026,-0.1819061440876587,-0.19666710179852653,-0.38382839180774136,-0.2103991541797952,-0.989899579238916,158700.0,False,False,True,False
-1.3472785239072649,1.0329932610441857,1.8557687252892139,-0.5187149396088429,-0.5692570512666866,-0.6485699147051835,-0.5870766729700507,-0.6675609271538069,162900.0,False,False,True,False
-1.3472785239072649,1.0376742616456152,0.9027446385335461,-0.8628456654674439,-0.8398000718996181,-0.8965444744857877,-0.8722006281654525,-1.3233479104468542,147500.0,False,False,True,False
-1.3472785239072649,1.0376742616456152,1.0615819863261575,-0.4564785317407979,-0.4055073282520175,-0.43765916813022127,-0.34903740762343094,-1.1360629405894982,159800.0,False,False,True,False
-1.3472785239072649,1.0329932610441857,1.8557687252892139,-0.09175487680821133,0.007426755871930592,-0.36176659823295454,-0.05606600411989885,-1.130007902205018,113900.0,False,False,True,False
-1.3472785239072649,1.0329932610441857,1.8557687252892139,-0.4340551200824582,-0.4767028599975258,-0.5047270205975732,-0.4562858678345454,-0.8901230771642211,99700.0,False,False,True,False
-1.3472785239072649,1.0329932610441857,1.8557687252892139,-0.18877045377898719,-0.2393844208458315,-0.3697088439198778,-0.2025517058716649,-0.6692984599076142,132600.0,False,False,True,False
-1.3522697172905358,1.0376742616456152,0.9821633124298519,-0.961691725022574,-0.9845643197821516,-0.9777318748410032,-0.9951439849928276,-0.7726026799976149,107500.0,False,False,True,False
-1.3522697172905358,1.0376742616456152,1.617512703600297,-0.6894074405998777,-0.6974090084086015,-0.7218150693734758,-0.6812460526676146,-0.7431699281982721,93800.0,False,False,True,False
-1.3522697172905358,1.0376742616456152,1.8557687252892139,-0.3379547844038595,-0.2773553711101026,-0.2849915565926963,-0.2679471084394176,-1.0863063208213786,105500.0,False,False,True,False
-1.3522697172905358,1.0329932610441857,1.6969313774966026,-0.25375258552356345,-0.10885927931239962,-0.25939987604594356,-0.06914508463344939,-1.1734988735578928,108900.0,False,False,True,False
-1.3522697172905358,1.0329932610441857,1.8557687252892139,-0.8729133196813924,-0.8967564972960248,-0.9088990788876683,-0.9009746052952637,-1.1497525925891925,132000.0,False,False,True,False
-1.3522697172905358,1.0329932610441857,1.617512703600297,-0.3297176127742653,-0.21565257693066206,-0.49590230316765854,-0.31764761439090966,-1.023439226638167,122300.0,False,False,True,False
-1.3522697172905358,1.0329932610441857,1.8557687252892139,-0.22126151965127533,-0.134964307619086,-0.22674842155525907,-0.15285119992017285,-1.0054847215154912,115200.0,False,False,True,False
-1.3472785239072649,1.0329932610441857,1.5380940297039913,-0.32697188889773393,-0.30583358380830594,-0.35205940906004835,-0.4301277068074443,-1.0921507491750941,110400.0,False,False,True,False
-1.3472785239072649,1.028312260442753,1.617512703600297,-0.4491566014033809,-0.4078805126435345,-0.5920917231537292,-0.44582260342370494,-1.3142916791239796,104900.0,False,False,True,False
-1.3472785239072649,1.028312260442753,1.7763500513929082,0.013040251146070127,0.08574184079198972,-0.1473259646860264,0.09565132983728741,-0.6006922423860692,109700.0,False,False,True,False
-1.3472785239072649,1.028312260442753,1.617512703600297,-0.6505096856823496,-0.6072280015309577,-0.7544665238641604,-0.615850650099862,-1.255794743079132,97200.0,False,False,True,False
-1.3472785239072649,1.028312260442753,1.5380940297039913,-0.383716849012716,-0.25125034280341624,-0.3864758070367158,-0.3281108788017501,-1.4605603454899438,104500.0,False,False,True,False
